학번,과제2
2022E0001,68.0
2022E0002,56.0
2023E0003,96.0
2023E0004,57.0
2022E0005,98.0
2024E0006,98.0
2022E0007,
2024E0008,65.0
2021E0009,53.0
2022E0010,53.0
2022E0011,
2023E0012,51.0
2022E0013,
2023E0014,85.0
2023E0015,51.0
2024E0016,
2021E0017,55.0
2024E0018,74.0
2023E0019,74.0
2023E0020,80.0
2021E0021,87.0
2024E0022,73.0
2021E0023,
2023E0024,79.0
2021E0025,57.0
2022E0026,80.0
2023E0027,93.0
2023E0028,97.0
2021E0029,
2022E0030,96.0
2024E0031,52.0
2023E0032,90.0
2022E0033,84.0
2023E0034,71.0
2023E0035,78.0
2024E0036,83.0
2021E0037,50.0
