학번,과제4
2022E0001,52.0
2022E0002,51.0
2023E0003,56.0
2023E0004,92.0
2022E0005,99.0
2024E0006,51.0
2022E0007,90.0
2024E0008,
2021E0009,90.0
2022E0010,74.0
2022E0011,81.0
2023E0012,73.0
2022E0013,94.0
2023E0014,85.0
2023E0015,66.0
2024E0016,82.0
2021E0017,96.0
2024E0018,70.0
2023E0019,51.0
2023E0020,89.0
2021E0021,
2024E0022,74.0
2021E0023,96.0
2023E0024,68.0
2021E0025,59.0
2022E0026,62.0
2023E0027,
2023E0028,56.0
2021E0029,82.0
2022E0030,80.0
2024E0031,89.0
2023E0032,91.0
2022E0033,88.0
2023E0034,83.0
2023E0035,83.0
2024E0036,77.0
2021E0037,74.0
