학번,과제3
2022E0001,67.0
2022E0002,58.0
2023E0003,60.0
2023E0004,96.0
2022E0005,91.0
2024E0006,83.0
2022E0007,90.0
2024E0008,53.0
2021E0009,86.0
2022E0010,83.0
2022E0011,71.0
2023E0012,67.0
2022E0013,60.0
2023E0014,92.0
2023E0015,100.0
2024E0016,90.0
2021E0017,54.0
2024E0018,50.0
2023E0019,54.0
2023E0020,63.0
2021E0021,56.0
2024E0022,75.0
2021E0023,59.0
2023E0024,77.0
2021E0025,80.0
2022E0026,93.0
2023E0027,67.0
2023E0028,54.0
2021E0029,86.0
2022E0030,83.0
2024E0031,
2023E0032,77.0
2022E0033,79.0
2023E0034,
2023E0035,77.0
2024E0036,
2021E0037,82.0
