학번,과제4
2021E0001,91.0
2021E0002,73.0
2023E0003,87.0
2022E0004,83.0
2022E0005,93.0
2022E0006,99.0
2021E0007,75.0
2021E0008,95.0
2024E0009,83.0
2021E0010,
2021E0011,80.0
2021E0012,83.0
2022E0013,97.0
2022E0014,77.0
2021E0015,95.0
2022E0016,82.0
2024E0017,97.0
2022E0018,76.0
2024E0019,84.0
2023E0020,96.0
2021E0021,77.0
2022E0022,91.0
2024E0023,80.0
2023E0024,72.0
2023E0025,78.0
2022E0026,86.0
2022E0027,96.0
2023E0028,100.0
2021E0029,
2021E0030,78.0
2024E0031,100.0
2021E0032,71.0
2023E0033,83.0
2023E0034,95.0
2023E0035,89.0
2021E0036,73.0
2024E0037,88.0
