학번,과제2
2021E0001,
2021E0002,94.0
2023E0003,75.0
2022E0004,85.0
2022E0005,82.0
2022E0006,75.0
2021E0007,82.0
2021E0008,95.0
2024E0009,79.0
2021E0010,100.0
2021E0011,95.0
2021E0012,92.0
2022E0013,76.0
2022E0014,100.0
2021E0015,93.0
2022E0016,93.0
2024E0017,71.0
2022E0018,86.0
2024E0019,86.0
2023E0020,100.0
2021E0021,97.0
2022E0022,89.0
2024E0023,97.0
2023E0024,73.0
2023E0025,88.0
2022E0026,89.0
2022E0027,
2023E0028,91.0
2021E0029,86.0
2021E0030,78.0
2024E0031,92.0
2021E0032,78.0
2023E0033,91.0
2023E0034,84.0
2023E0035,94.0
2021E0036,70.0
2024E0037,88.0
